total_capacity,checkin_date,checkout_date,adults,children,hotel,price,score,avg review,reviews count
,2024-02-17,2024-02-21,2,2,Suites 18,US$731,9.3,Wonderful,23
,2024-02-17,2024-02-21,2,2,Central Deluxe Apartments by Apolo Homes,US$951,9.0,Wonderful,104
,2024-02-17,2024-02-21,2,2,Apartamentos Puerta Elvira Suites 3000,US$411,9.2,Wonderful,225
,2024-02-17,2024-02-21,2,2,Gran Hotel Luna de Granada,US$661,8.5,Very Good,"9,240"
,2024-02-17,2024-02-21,2,2,Apartamento Paseo del Salón,US$444,9.5,Exceptional,44
,2024-02-17,2024-02-21,2,2,Be Free Granada,US$330,8.2,Very Good,"3,161"
,2024-02-17,2024-02-21,2,2,Casa rural Lomalinda,US$692,8.7,Excellent,18
,2024-02-17,2024-02-21,2,2,Luxury Alhambra Penthouse Collection,US$600,8.6,Excellent,614
,2024-02-17,2024-02-21,2,2,Genteel Home San José,US$558,10,Exceptional,1
,2024-02-17,2024-02-21,2,2,Central Stylish and Elegant 1 & 2 BR apartments I,US$433,8.7,Excellent,72
,2024-02-17,2024-02-21,2,2,BiBo Suites Oro del Darro,US$670,9.3,Wonderful,"2,473"
,2024-02-17,2024-02-21,2,2,Apartamentos Turísticos Centro,US$472,8.7,Excellent,299
,2024-02-17,2024-02-21,2,2,Suites Gran Vía 44,US$497,9.0,Wonderful,"1,055"
,2024-02-17,2024-02-21,2,2,BiBo Suites San Agustín,US$642,9.4,Wonderful,898
,2024-02-17,2024-02-21,2,2,El Realejo Paradise,US$576,9.3,Wonderful,73
,2024-02-17,2024-02-21,2,2,Apartamento Catedral Centro,US$502,9.2,Wonderful,61
,2024-02-17,2024-02-21,2,2,Mosaiko Homes Catedral Granada,US$760,9.5,Exceptional,962
,2024-02-17,2024-02-21,2,2,Granada Suites by Olala Homes,US$399,8.2,Very Good,149
,2024-02-17,2024-02-21,2,2,Hotel Universal,US$524,7.8,Good,"4,389"
,2024-02-17,2024-02-21,2,2,Verona,US$413,8.9,Excellent,929
,2024-02-17,2024-02-21,2,2,Holidays2Granada Centro con Terraza-solarium,US$437,7.8,Good,504
82%,,,,,,,,,
,2024-02-17,2024-02-21,1,0,Arte Vida Suites & Spa,US$442,8.6,Excellent,"1,109"
,2024-02-17,2024-02-21,1,0,LOLA,US$139,8.9,Excellent,122
,2024-02-17,2024-02-21,1,0,Hostal Sonia Granada,US$261,7.9,Good,"2,349"
,2024-02-17,2024-02-21,1,0,Porcel Navas,US$401,8.7,Excellent,"2,072"
,2024-02-17,2024-02-21,1,0,Oripando Hostel,US$107,9.4,Wonderful,"1,912"
,2024-02-17,2024-02-21,1,0,Pensión Duquesa Bed & Breakfast,US$149,7.0,Good,"1,582"
,2024-02-17,2024-02-21,1,0,Hostal Bocanegra,US$137,5.9,Review score,"1,721"
,2024-02-17,2024-02-21,1,0,Pension La Milagrosa,US$116,7.0,Good,"1,670"
,2024-02-17,2024-02-21,1,0,Abadía Hotel,US$434,8.5,Very Good,"4,078"
,2024-02-17,2024-02-21,1,0,Barbieri Granada Pensión,US$167,8.0,Very Good,996
,2024-02-17,2024-02-21,1,0,San José Guest House,US$161,7.7,Good,322
,2024-02-17,2024-02-21,1,0,Hotel Carlos V,US$292,8.3,Very Good,"3,363"
,2024-02-17,2024-02-21,1,0,GLORIA SUITES,US$418,7.9,Good,445
,2024-02-17,2024-02-21,1,0,El Granado Hostel,US$91,9.0,Wonderful,480
,2024-02-17,2024-02-21,1,0,"Palacete 1620, Premium Suites, Only adults",US$686,9.3,Wonderful,750
,2024-02-17,2024-02-21,1,0,Oh! My Hostel,US$68,8.2,Very Good,799
,2024-02-17,2024-02-21,1,0,Hotel Universal,US$236,7.8,Good,"4,389"
,2024-02-17,2024-02-21,1,0,Hotel Cedran,US$258,7.8,Good,"2,041"
,2024-02-17,2024-02-21,1,0,Tina Home,US$445,8.9,Excellent,481
,2024-02-17,2024-02-21,1,0,Pensión Princesa,US$158,6.5,Review score,234
,2024-02-17,2024-02-21,1,0,Barceló Carmen Granada,US$410,9.0,Wonderful,987
,2024-02-17,2024-02-21,1,0,Hotel Santa Isabel La Real,US$800,9.1,Wonderful,771
,2024-02-17,2024-02-21,1,0,Hotel Macià Plaza,US$298,8.3,Very Good,"1,611"
,2024-02-17,2024-02-21,1,0,Toc Hostel Granada,US$122,9.1,Wonderful,"3,581"
,2024-02-17,2024-02-21,1,0,Arc House Granada,US$141,6.6,Review score,144
,2024-02-17,2024-02-21,1,0,El Cascabel,US$74,7.6,Good,637
87%,,,,,,,,,
,2024-02-24,2024-02-27,2,0,LOLA,US$131,8.9,Excellent,122
,2024-02-24,2024-02-27,2,0,Entre Dos Aguas,US$198,9.7,Exceptional,73
,2024-02-24,2024-02-27,2,0,Gran Hotel Luna de Granada,US$293,8.5,Very Good,"9,240"
,2024-02-24,2024-02-27,2,0,Hotel Macià Monasterio de los Basilios,US$287,8.1,Very Good,"2,597"
,2024-02-24,2024-02-27,2,0,Hotel Cedran,US$226,7.8,Good,"2,041"
,2024-02-24,2024-02-27,2,0,Hotel Andalucía Center,US$258,8.8,Excellent,"7,044"
,2024-02-24,2024-02-27,2,0,Hostal Sonia Granada,US$222,7.9,Good,"2,349"
,2024-02-24,2024-02-27,2,0,ROOMS Los MONTES,US$161,7.1,Good,"1,380"
,2024-02-24,2024-02-27,2,0,Hotel Macià Plaza,US$285,8.3,Very Good,"1,611"
,2024-02-24,2024-02-27,2,0,Boutique Hotel Luna Granada Centro,US$404,9.1,Wonderful,960
,2024-02-24,2024-02-27,2,0,Hotel Macià Granada Five Senses Rooms & Suites,US$357,8.6,Excellent,"4,553"
,2024-02-24,2024-02-27,2,0,Abadía Hotel,US$263,8.5,Very Good,"4,078"
,2024-02-24,2024-02-27,2,0,Áurea Washington Irving by Eurostars Hotel Company,US$491,8.9,Excellent,"2,531"
,2024-02-24,2024-02-27,2,0,Áurea Catedral by Eurostars Hotel Company,US$503,9.2,Wonderful,"5,463"
,2024-02-24,2024-02-27,2,0,Porcel Navas,US$329,8.7,Excellent,"2,072"
,2024-02-24,2024-02-27,2,0,Hotel Granada Center,US$390,9.1,Wonderful,"8,009"
,2024-02-24,2024-02-27,2,0,Hotel Saray,US$278,8.4,Very Good,"9,400"
,2024-02-24,2024-02-27,2,0,Eurostars Gran Via,US$515,8.6,Excellent,"2,097"
,2024-02-24,2024-02-27,2,0,Barceló Carmen Granada,US$356,9.0,Wonderful,987
,2024-02-24,2024-02-27,2,0,Casa Palacio López Daza,US$366,9.0,Wonderful,372
,2024-02-24,2024-02-27,2,0,Carmen en el Albaicín con Jardin y Vistas,US$384,9.5,Exceptional,81
,2024-02-24,2024-02-27,2,0,Barbieri Granada Pensión,US$201,8.0,Very Good,996
,2024-02-24,2024-02-27,2,0,Suites 18,US$418,9.3,Wonderful,23
,2024-02-24,2024-02-27,2,0,Exe Triunfo Granada,US$300,8.0,Very Good,"2,631"
,2024-02-24,2024-02-27,2,0,Hotel Boutique Puerta de las Granadas,US$315,8.7,Excellent,"1,557"
90%,,,,,,,,,
,2024-02-24,2024-02-27,2,2,Casa Palacio López Daza,US$356,9.0,Wonderful,372
,2024-02-24,2024-02-27,2,2,Carmen en el Albaicín con Jardin y Vistas,US$536,9.5,Exceptional,81
,2024-02-24,2024-02-27,2,2,limehome Granada Calle Santa Ana,US$444,8.8,Excellent,"1,692"
,2024-02-24,2024-02-27,2,2,Boutique Hotel Luna Granada Centro,US$614,9.1,Wonderful,960
,2024-02-24,2024-02-27,2,2,ADANAR-Las Columnas,US$333,8.6,Excellent,"1,294"
,2024-02-24,2024-02-27,2,2,BiBo Suites Oro del Darro,US$639,9.3,Wonderful,"2,473"
,2024-02-24,2024-02-27,2,2,Mosaiko Homes Catedral Granada,US$665,9.5,Exceptional,962
,2024-02-24,2024-02-27,2,2,Be Free Granada,US$351,8.2,Very Good,"3,161"
,2024-02-24,2024-02-27,2,2,CALM SUITES Molino Corteza del Carmen,US$606,9.3,Wonderful,854
,2024-02-24,2024-02-27,2,2,Apartamentos Correo Viejo de Granada,US$754,8.5,Very Good,777
,2024-02-24,2024-02-27,2,2,Morente sueña La Alhambra,US$480,9.1,Wonderful,254
,2024-02-24,2024-02-27,2,2,BiBo Suites Gran Vía,US$616,9.0,Wonderful,"3,252"
,2024-02-24,2024-02-27,2,2,Toc Hostel Granada,US$554,9.1,Wonderful,"3,581"
,2024-02-24,2024-02-27,2,2,Suites Gran Vía 44,US$591,9.0,Wonderful,"1,055"
,2024-02-24,2024-02-27,2,2,Chezmoihomes Apartment Cathedral 2 dormitorios,US$557,8.4,Very Good,83
,2024-02-24,2024-02-27,2,2,Vincci Albayzin,US$916,8.5,Very Good,"5,147"
,2024-02-24,2024-02-27,2,2,BiBo Suites Plaza Nueva,US$774,9.2,Wonderful,"2,847"
,2024-02-24,2024-02-27,2,2,"Apartamentos Anaya,1º,2º,3º, en pleno centro de Granada",US$408,9.3,Wonderful,9
,2024-02-24,2024-02-27,2,2,Hotel Saray,"US$1,021",8.4,Very Good,"9,400"
,2024-02-24,2024-02-27,2,2,Casas del Albaicín,US$715,8.9,Excellent,769
,2024-02-24,2024-02-27,2,2,Hospes Palacio de los Patos,"US$2,213",8.6,Excellent,"1,230"
,2024-02-24,2024-02-27,2,2,tuGuest Nazarí Calderería Apartments,US$567,8.9,Excellent,90
,2024-02-24,2024-02-27,2,2,tuGuest Alhamar Apartment,US$527,8.1,Very Good,50
,2024-02-24,2024-02-27,2,2,Seda Club Hotel - Small Luxury Hotels,"US$3,004",9.8,Exceptional,335
,2024-02-24,2024-02-27,2,2,Hi Granada Suite A,US$494,8.8,Excellent,4
86%,,,,,,,,,
,2024-02-24,2024-02-27,1,0,LOLA,US$104,8.9,Excellent,122
,2024-02-24,2024-02-27,1,0,Hotel Cedran,US$172,7.8,Good,"2,041"
,2024-02-24,2024-02-27,1,0,Abadía Hotel,US$243,8.5,Very Good,"4,078"
,2024-02-24,2024-02-27,1,0,Hostal Sonia Granada,US$222,7.9,Good,"2,349"
,2024-02-24,2024-02-27,1,0,Hotel Monasterio Granada - Adults Only,US$215,6.9,Review score,"3,738"
