total_capacity,checkin_date,checkout_date,adults,children,hotel,price,score,avg review,reviews count
,2024-02-24,2024-02-27,7,0,"Hotel Palacio de Santa Paula, Autograph Collection","US$2,511",8.4,Very Good,580
,2024-02-24,2024-02-27,7,0,"Palacio Gran Vía, a Royal Hideaway Hotel","US$8,468",9.5,Exceptional,216
,2024-02-24,2024-02-27,7,0,Biznaga Nevada,"US$2,874",-,-,-
,2024-02-24,2024-02-27,7,0,Alhambra Palace Hotel,"US$4,440",8.7,Excellent,"1,465"
,2024-02-24,2024-02-27,7,0,Villa Aguas de Víznar,"US$2,597",-,-,-
,2024-02-24,2024-02-27,7,0,Hotel Granada Palace,"US$2,651",8.4,Very Good,755
,2024-02-24,2024-02-27,7,0,Chalet Rural Vistas a Granada,US$652,9.6,Exceptional,23
,2024-02-24,2024-02-27,7,0,Villa de la Acacia,"US$1,753",9.7,Exceptional,9
,2024-02-24,2024-02-27,7,0,El cortijo del abuelo pepe,"US$1,532",10,Exceptional,1
,2024-02-24,2024-02-27,7,0,Hotel Corona de Atarfe,US$650,7.7,Good,465
Commission,,,,,,,,,
,2024-02-27,2024-02-29,2,0,tuGuest Station 2 apartment,US$250,8.3,Very Good,75
,2024-02-27,2024-02-29,2,0,Apartamentos Caballerizas Granada con parking gratuito en pleno centro,US$251,9.1,Wonderful,723
,2024-02-27,2024-02-29,2,0,Granada City Center,US$286,9.4,Wonderful,159
,2024-02-27,2024-02-29,2,0,Áurea Catedral by Eurostars Hotel Company,US$247,9.2,Wonderful,"5,531"
,2024-02-27,2024-02-29,2,0,Catalonia Granada,US$152,8.9,Excellent,"3,969"
,2024-02-27,2024-02-29,2,0,Vincci Albayzin,US$179,8.5,Very Good,"5,244"
,2024-02-27,2024-02-29,2,0,Crisol Guadalupe,US$117,8.5,Very Good,"4,583"
,2024-02-27,2024-02-29,2,0,Eurostars Gran Via,US$236,8.6,Excellent,"2,124"
,2024-02-27,2024-02-29,2,0,Gran Hotel Luna de Granada,US$173,8.5,Very Good,"9,332"
,2024-02-27,2024-02-29,2,0,Hotel Granada Center,US$193,9.1,Wonderful,"8,214"
,2024-02-27,2024-02-29,2,0,Hotel Monasterio Granada - Adults Only,US$90,6.9,Review score,"3,823"
,2024-02-27,2024-02-29,2,0,Barceló Carmen Granada,US$139,9.1,Wonderful,"1,052"
,2024-02-27,2024-02-29,2,0,Hotel Colón Centro,US$190,8.4,Very Good,"2,384"
,2024-02-27,2024-02-29,2,0,Eurostars Puerta Real,US$225,8.9,Excellent,"4,039"
,2024-02-27,2024-02-29,2,0,Áurea Washington Irving by Eurostars Hotel Company,US$290,8.9,Excellent,"2,579"
,2024-02-27,2024-02-29,2,0,Porcel Alixares,US$138,8.4,Very Good,"9,184"
,2024-02-27,2024-02-29,2,0,Hospes Palacio de los Patos,US$387,8.6,Excellent,"1,254"
,2024-02-27,2024-02-29,2,0,Hotel Macià Monasterio de los Basilios,US$143,8.1,Very Good,"2,644"
,2024-02-27,2024-02-29,2,0,Hotel Andalucía Center,US$136,8.8,Excellent,"7,104"
,2024-02-27,2024-02-29,2,0,Casa Vestali,US$133,9.0,Wonderful,437
,2024-02-27,2024-02-29,2,0,Porcel Navas,US$141,8.7,Excellent,"2,108"
,2024-02-27,2024-02-29,2,0,Abadía Hotel,US$146,8.5,Very Good,"4,139"
