check-in,tipo,pax,1,6,8,13,15,20,22,27
2024-06-13,Apartamentos,5,34.071999999999996,29.864,34.93066666666667,36.80266666666666,37.23466666666666,37.14933333333334,40.704,39.714666666666666
2024-04-16,Apartamentos,7,29.54285714285714,29.94,28.13047619047619,27.67809523809524,26.115238095238094,27.251428571428573,28.155238095238094,27.875238095238092
2024-04-18,Apartamentos,7,68.83619047619048,61.800952380952374,62.09238095238096,62.50857142857143,56.36571428571429,58.89428571428571,61.23809523809524,60.81714285714286
2024-04-23,Apartamentos,7,26.674285714285713,27.273333333333337,27.24761904761905,26.716190476190476,26.24761904761905,25.44571428571429,27.95047619047619,26.56857142857143
2024-04-25,Apartamentos,7,37.08952380952381,51.72476190476191,46.392380952380954,50.199047619047626,45.4952380952381,53.78952380952381,44.12,48.76666666666666
2024-04-30,Apartamentos,7,53.59809523809523,42.53904761904762,44.969523809523814,48.24285714285714,44.56666666666666,43.338095238095235,44.71142857142857,43.547619047619044
2024-05-02,Apartamentos,7,41.71511728249785,46.611428571428576,50.764761904761905,63.00666666666667,66.56476190476191,68.76761904761905,75.66285714285715,78.18380952380951
2024-05-07,Apartamentos,7,25.613333333333333,25.419817137418853,26.38190476190476,27.153333333333336,23.903809523809525,28.75904761904762,27.318095238095236,28.359047619047615
2024-05-09,Apartamentos,7,51.415238095238095,40.037142857142854,37.91042750646585,37.962857142857146,38.74,37.54095238095238,44.90285714285715,38.375238095238096
2024-05-14,Apartamentos,7,23.886666666666667,25.412380952380953,22.964761904761904,25.44219705969706,24.751428571428573,27.885714285714286,27.521062271062274,26.820000000000004
2024-05-16,Apartamentos,7,45.03142857142857,43.58190476190476,45.906666666666666,41.07904761904762,45.870451770451766,45.595238095238095,39.981904761904765,41.279047619047624
2024-05-21,Apartamentos,7,24.476190476190478,22.303809523809523,22.517142857142858,23.246666666666666,23.97904761904762,23.143587403012322,23.980952380952385,24.016190476190474
2024-05-23,Apartamentos,7,36.492380952380955,35.88761904761905,36.13142857142857,37.32666666666667,42.24095238095238,38.18857142857143,40.06012168179192,38.19904761904762
2024-05-28,Apartamentos,7,27.115238095238094,26.86,29.23076923076923,29.349523809523813,27.067619047619047,26.115238095238094,25.879047619047622,26.283382032574785
2024-05-30,Apartamentos,7,50.13238095238095,41.73428571428571,41.90190476190477,45.21288515406163,45.01809523809524,41.82857142857143,43.48285714285714,43.18761904761905
2024-06-04,Apartamentos,7,21.55428571428571,22.758095238095237,24.432380952380953,25.465714285714284,25.615238095238094,23.303809523809523,24.94666666666667,24.13714285714286
2024-06-06,Apartamentos,7,36.63428571428572,30.033333333333335,32.988571428571426,32.614285714285714,34.00095238095238,37.902857142857144,37.32190476190476,38.58380952380953
2024-06-11,Apartamentos,7,20.441904761904762,21.897142857142857,22.415238095238095,23.222222222222225,23.16,22.355238095238093,22.546666666666667,24.06952380952381
2024-06-13,Apartamentos,7,34.170476190476194,32.77809523809524,31.626666666666665,35.64,37.705714285714286,35.584761904761905,37.03142857142857,37.343809523809526
2024-04-16,Hotel,2,50.300000000000004,50.72666666666667,54.82051282051282,47.256410256410255,50.43333333333334,43.70666666666667,48.57333333333333,51.019230769230774
2024-04-18,Hotel,2,86.96794871794872,84.96,91.94666666666666,96.3974358974359,89.76282051282051,91.97333333333334,89.82666666666667,87.22000000000001
2024-04-23,Hotel,2,70.07333333333334,58.19871794871795,62.31410256410256,62.873333333333335,60.40384615384615,56.879999999999995,66.59615384615385,57.42307692307693
2024-04-25,Hotel,2,82.10000000000001,72.65333333333334,79.17948717948718,78.89333333333333,77.2,90.84615384615385,79.82666666666667,75.70666666666666
2024-04-30,Hotel,2,61.85333333333333,63.86000000000001,72.58333333333333,70.82051282051282,73.51333333333334,74.36666666666666,80.51923076923077,72.96666666666667
2024-05-02,Hotel,2,106.10854771258394,94.39333333333333,93.81333333333333,159.79999999999998,103.44666666666666,94.87333333333333,103.18,112.0576923076923
2024-05-07,Hotel,2,58.9,51.63667984406742,51.98666666666667,48.93333333333334,51.82,55.69871794871795,45.86000000000001,50.70666666666667
2024-05-09,Hotel,2,73.44,71.74,109.34040755304333,113.83333333333333,77.70666666666666,70.37179487179488,69.92948717948718,69.3
2024-05-14,Hotel,2,56.13333333333333,52.6,55.78666666666667,54.045977130977136,57.053333333333335,53.373333333333335,54.07333333333333,60.230769230769226
2024-05-16,Hotel,2,76.55333333333333,79.55333333333333,84.57051282051282,81.15333333333334,68.47170282708747,71.52666666666667,77.08,78.8974358974359
2024-05-21,Hotel,2,52.95061728395061,56.02,55.833333333333336,56.54666666666666,47.199999999999996,50.915542933775086,50.39333333333334,47.11333333333334
